        Frequency / GHz                RCS (square meters),Theta=theta,Phi=270pi180 (5)/real
----------------------------------------------------------------------
                       8                       4.3461804
                    8.04                        4.379156
                    8.08                       4.4161769
                    8.12                       4.4504751
                    8.16                       4.4893783
                     8.2                       4.5256301
                    8.24                        4.566269
                    8.28                       4.6036989
                    8.32                       4.6451704
                    8.36                       4.6832836
                     8.4                       4.7256636
                    8.44                       4.7648513
                    8.48                       4.8084595
                    8.52                       4.8485858
                    8.56                       4.8927819
                     8.6                       4.9325529
                    8.64                       4.9754478
                    8.68                       5.0158643
                    8.72                       5.0599931
                    8.76                       5.0977302
                     8.8                       5.1392307
                    8.84                       5.1781903
                    8.88                        5.220679
                    8.92                       5.2561193
                    8.96                       5.2950385
                       9                       5.3311714
                    9.04                       5.3710805
                    9.08                       5.4040835
                    9.12                       5.4410667
                    9.16                       5.4754129
                     9.2                       5.5136744
                    9.24                       5.5447478
                    9.28                       5.5798352
                    9.32                       5.6123418
                    9.36                       5.6491791
                     9.4                       5.6791052
                    9.44                       5.7135294
                    9.48                       5.7455249
                    9.52                       5.7819643
                    9.56                       5.8112887
                     9.6                       5.8452192
                    9.64                       5.8768847
                    9.68                       5.9135253
                    9.72                       5.9433672
                    9.76                       5.9783128
                     9.8                       6.0111289
                    9.84                       6.0490217
                    9.88                       6.0798897
                    9.92                        6.116031
                    9.96                       6.1502855
                      10                       6.1902093
                   10.04                       6.2234438
                   10.08                       6.2623914
                   10.12                       6.2994337
                   10.16                       6.3421362
                    10.2                       6.3777962
                   10.24                       6.4193305
                   10.28                       6.4592256
                   10.32                       6.5053545
                   10.36                       6.5446561
                    10.4                       6.5899853
                   10.44                       6.6332346
                   10.48                       6.6822041
                   10.52                       6.7234737
                   10.56                       6.7706063
                    10.6                       6.8155954
                   10.64                       6.8667004
                   10.68                       6.9098605
                   10.72                       6.9584755
                   10.76                       7.0037187
                    10.8                       7.0538705
                   10.84                       7.0948484
                   10.88                       7.1412781
                   10.92                        7.184959
                   10.96                       7.2346726
                      11                       7.2754227
                   11.04                       7.3209977
                   11.08                       7.3618144
                   11.12                       7.4066128
                   11.16                       7.4411905
                    11.2                       7.4815469
                   11.24                       7.5195424
                   11.28                       7.5636876
                   11.32                       7.5963943
                   11.36                       7.6287868
                    11.4                       7.6476732
                   11.44                       7.6604117
